FULL NAME,TEAM
Jarrett Allen,Bro
Marc Gasol,Lal
Danny Green,Phi
Jeff Green,Bro
Montrezl Harrell,Lal
Joe Harris,Bro
Dwight Howard,Phi
LeBron James,Lal
Kyle Kuzma,Lal
Caris LeVert,Bro
Timothe Luwawu-Cabarrot,Bro
Tyrese Maxey,Phi
JaVale McGee,Cle
Markieff Morris,Lal
Larry Nance Jr.,Cle
Cedi Osman,Cle
Taurean Prince,Bro
Dennis Schroder,Lal
Landry Shamet,Bro
Cole Anthony,Orl
Deni Avdija,Was
Deandre Ayton,Pho
Dwayne Bacon,Orl
Marvin Bagley III,Sac
LaMelo Ball,Cha
Harrison Barnes,Sac
RJ Barrett,Nyk
Will Barton,Den
Nicolas Batum,Lac
Davis Bertans,Was
Patrick Beverley,Lac
Khem Birch,Orl
Bismack Biyombo,Cha
Bojan Bogdanovic,Uta
Devin Booker,Pho
Mikal Bridges,Pho
Miles Bridges,Cha
Malcolm Brogdon,Ind
Wendell Carter Jr.,Chi
Jevon Carter,Pho
Jordan Clarkson,Uta
Mike Conley,Uta
Jae Crowder,Pho
Stephen Curry,Gol
Donte DiVincenzo,Mil
Damyean Dotson,Cle
PJ Dozier,Den
Andre Drummond,Cle
Derrick Favors,Uta
Bryn Forbes,Mil
De'Aaron Fox,Sac
Langston Galloway,Pho
Rudy Gay,San
Rudy Gobert,Uta
Devonte' Graham,Cha
Gordon Hayward,Cha
Buddy Hield,Sac
Aaron Holiday,Ind
Jrue Holiday,Mil
Justin Holiday,Ind
Talen Horton-Tucker,Lal
Serge Ibaka,Lac
Cameron Johnson,Pho
Keldon Johnson,San
Nikola Jokic,Den
DeAndre Jordan,Bro
Cory Joseph,Sac
Luke Kennard,Lac
Kevin Knox II,Nyk
Zach LaVine,Chi
Damion Lee,Gol
Kevon Looney,Gol
Brook Lopez,Mil
Robin Lopez,Was
Doug McDermott,Ind
Khris Middleton,Mil
Paul Millsap,Den
Patty Mills,San
Donovan Mitchell,Uta
Monte Morris,Den
Mychal Mulder,Gol
Dejounte Murray,San
Raul Neto,Was
Georges Niang,Uta
Royce O'Neale,Uta
Kelly Oubre Jr.,Gol
Chris Paul,Pho
Elfrid Payton,Nyk
Jakob Poeltl,San
Bobby Portis,Mil
Julius Randle,Nyk
Mitchell Robinson,Nyk
Terry Rozier,Cha
Domantas Sabonis,Ind
Ish Smith,Was
Myles Turner,Ind
Nikola Vucevic,Orl
Dean Wade,Cle
Lonnie Walker IV,San
Brad Wanamaker,Gol
P.J. Washington,Cha
Coby White,Chi
Andrew Wiggins,Gol
Lou Williams,Lac
Patrick Williams,Chi
James Wiseman,Gol
Ivica Zubac,Lac
Kyle Anderson,Mem
Giannis Antetokounmpo,Mil
Thanasis Antetokounmpo,Mil
OG Anunoby,Tor
D.J. Augustin,Mil
Desmond Bane,Mem
Darius Bazley,Okc
Bradley Beal,Was
Malik Beasley,Min
Nemanja Bjelica,Sac
Chris Boucher,Tor
Dillon Brooks,Mem
Jaylen Brown,Bos
Thomas Bryant,Was
Reggie Bullock,Nyk
Facundo Campazzo,Den
Brandon Clarke,Mem
John Collins,Atl
Robert Covington,Por
Jarrett Culver,Min
Anthony Davis,Lal
Hamidou Diallo,Okc
Luguentz Dort,Okc
Sekou Doumbouya,Det
Anthony Edwards,Min
Joel Embiid,Phi
Daniel Gafford,Chi
Paul George,Lac
Shai Gilgeous-Alexander,Okc
Aaron Gordon,Orl
Jerami Grant,Det
Gary Harris,Den
Juancho Hernangomez,Min
Solomon Hill,Atl
Richaun Holmes,Sac
Kevin Huerter,Atl
De'Andre Hunter,Atl
Reggie Jackson,Lac
Derrick Jones Jr.,Por
Tyus Jones,Mem
Enes Kanter,Por
Damian Lillard,Por
Theo Maledon,Okc
Terance Mann,Lac
Caleb Martin,Cha
Wesley Matthews,Lal
CJ McCollum,Por
Jamal Murray,Den
Svi Mykhailiuk,Det
Jusuf Nurkic,Por
Eric Paschall,Gol
Mason Plumlee,Det
Otto Porter Jr.,Chi
Norman Powell,Tor
Payton Pritchard,Bos
Cam Reddish,Atl
Naz Reid,Min
Terrence Ross,Orl
Ricky Rubio,Min
D'Angelo Russell,Min
Ben Simmons,Phi
Jayson Tatum,Bos
Garrett Temple,Chi
Daniel Theis,Bos
Jonas Valanciunas,Mem
Fred VanVleet,Tor
Devin Vassell,San
Kenrich Williams,Okc
Delon Wright,Det
Trae Young,Atl
Precious Achiuwa,Mia
Steven Adams,Nor
Grayson Allen,Mem
Carmelo Anthony,Por
Lonzo Ball,Nor
Kent Bazemore,Gol
Saddiq Bey,Det
Eric Bledsoe,Nor
Bogdan Bogdanovic,Atl
Sterling Brown,Hou
Willie Cauley-Stein,Dal
DeMar DeRozan,San
Gorgui Dieng,Mem
Tyrese Haliburton,Sac
Tim Hardaway Jr.,Dal
Tobias Harris,Phi
Isaiah Hartenstein,Den
Josh Hart,Nor
Jaxson Hayes,Nor
Tyler Herro,Mia
George Hill,Okc
Al Horford,Okc
Joe Ingles,Uta
Brandon Ingram,Nor
James Johnson,Dal
Maxi Kleber,Dal
Jake Layman,Min
Kawhi Leonard,Lac
Kyle Lowry,Tor
Cody Martin,Cha
Shake Milton,Phi
Mike Muscala,Okc
Nerlens Noel,Nyk
Semi Ojeleye,Bos
Victor Oladipo,Ind
Cameron Payne,Pho
Dwight Powell,Dal
JJ Redick,Nor
Duncan Robinson,Mia
Pascal Siakam,Tor
Marcus Smart,Bos
Jae'Sean Tate,Hou
Matisse Thybulle,Phi
P.J. Tucker,Hou
Zion Williamson,Nor
Bam Adebayo,Mia
LaMarcus Aldridge,San
Isaac Bonga,Was
Bruce Brown,Bro
Jalen Brunson,Dal
Trey Burke,Dal
Kentavious Caldwell-Pope,Lal
Clint Capela,Atl
Gary Clark,Orl
Amir Coffey,Lac
Pat Connaughton,Mil
Quinn Cook,Lal
Seth Curry,Phi
Ed Davis,Min
Luka Doncic,Dal
Goran Dragic,Mia
Kevin Durant,Bro
Dorian Finney-Smith,Dal
Markelle Fultz,Orl
Brandon Goodwin,Atl
R.J. Hampton,Den
James Harden,Hou
Rodney Hood,Por
Andre Iguodala,Mia
Josh Jackson,Det
Stanley Johnson,Tor
Thon Maker,Cle
T.J. McConnell,Ind
Jalen McDaniels,Cha
David Nwaba,Hou
Jordan Nwora,Mil
Kelly Olynyk,Mia
Aleksej Pokusevski,Okc
Josh Richardson,Dal
Glenn Robinson III,Sac
Derrick Rose,Det
Collin Sexton,Cle
Anfernee Simons,Por
Lamar Stevens,Cle
Isaiah Stewart,Det
Jeff Teague,Bos
Tristan Thompson,Bos
Gary Trent Jr.,Por
Denzel Valentine,Chi
Jarred Vanderbilt,Min
Hassan Whiteside,Sac
Robert Williams III,Bos
Grant Williams,Bos
Christian Wood,Hou
Nickeil Alexander-Walker,Nor
Aron Baynes,Tor
Avery Bradley,Mia
Troy Brown Jr.,Was
Michael Carter-Williams,Orl
Alex Caruso,Lal
DeMarcus Cousins,Hou
Terence Davis,Tor
Bruno Fernando,Atl
Harry Giles III,Por
Eric Gordon,Hou
Draymond Green,Gol
JaMychal Green,Den
Josh Green,Dal
Blake Griffin,Det
Rui Hachimura,Was
Killian Hayes,Det
Kyrie Irving,Bro
Isaiah Joe,Phi
Mfiondu Kabengele,Lac
Alex Len,Tor
Dakota Mathias,Phi
Alfonzo McKinnie,Lal
Sam Merrill,Mil
Jahlil Okafor,Det
Isaac Okoro,Cle
Immanuel Quickley,Nyk
Austin Rivers,Nyk
Isaiah Roby,Okc
Dario Saric,Pho
Mike Scott,Phi
John Wall,Hou
Russell Westbrook,Was
D.J. Wilson,Mil
Thaddeus Young,Chi
Bol Bol,Den
Marques Bolden,Cle
Jordan Bone,Orl
Jimmy Butler,Mia
Bruno Caboclo,Hou
Jared Dudley,Lal
Dante Exum,Cle
Malachi Flynn,Tor
Darius Garland,Cle
Maurice Harkless,Mia
Nathan Knight,Atl
Trey Lyles,San
Boban Marjanovic,Dal
Nicolo Melli,Nor
Miye Oni,Uta
Jordan Poole,Gol
Jerome Robinson,Was
JaKarr Sampson,Ind
Juan Toscano-Anderson,Gol
Udoka Azubuike,Uta
DeAndre' Bembry,Tor
Chris Chiozza,Bro
CJ Elleby,Por
Wayne Ellington,Det
Evan Fournier,Orl
Shaquille Harrison,Uta
Markus Howard,Den
Elijah Hughes,Uta
Wes Iwundu,Dal
Damian Jones,Pho
Frank Kaminsky,Pho
John Konchar,Mem
Rodions Kurucs,Bro
Karim Mane,Orl
Garrison Mathews,Was
Jaden McDaniels,Min
De'Anthony Melton,Mem
Adam Mokoka,Chi
Zeke Nnaji,Den
Kendrick Nunn,Mia
Chuma Okeke,Orl
Daniel Oturu,Lac
Patrick Patterson,Lac
Theo Pinson,Nyk
Xavier Tillman,Mem
Moritz Wagner,Was
Yuta Watanabe,Tor
Mo Bamba,Orl
Keljin Blevins,Por
Vlatko Cancar,Den
Carsen Edwards,Bos
James Ennis III,Orl
Terrance Ferguson,Phi
Anthony Gill,Was
Kyle Guy,Sac
Danuel House Jr.,Hou
Chandler Hutchison,Chi
Justin James,Sac
Tyler Johnson,Bro
Lauri Markkanen,Chi
Kelan Martin,Ind
Jordan McLaughlin,Min
Frank Ntilikina,Nyk
Josh Okogie,Min
KZ Okpala,Mia
Reggie Perry,Bro
Michael Porter Jr.,Den
Jahmi'us Ramsey,Sac
Nick Richards,Cha
Chris Silva,Mia
Cassius Stanley,Ind
Edmond Sumner,Ind
Tyrell Terry,Dal
Matt Thomas,Tor
T.J. Warren,Ind
Robert Woodard II,Sac
Ty-Shon Alexander,Pho
Tony Bradley,Phi
Ignas Brazdeikis,Nyk
Moses Brown,Okc
Alec Burks,Nyk
Spencer Dinwiddie,Bro
Drew Eubanks,San
Javonte Green,Bos
Josh Hall,Okc
Justin Jackson,Okc
Mason Jones,Hou
Tre Jones,San
Furkan Korkmaz,Phi
Meyers Leonard,Mia
Kenyon Martin Jr.,Hou
Skylar Mays,Atl
Sean McDermott,Mem
Ben McLemore,Hou
Ja Morant,Mem
Juwan Morgan,Uta
Marcus Morris Sr.,Lac
Aaron Nesmith,Bos
Vincent Poirier,Phi
Paul Reed,Phi
Luka Samanic,San
Tomas Satoransky,Chi
Brodric Thomas,Hou
Karl-Anthony Towns,Min
Tremont Waters,Bos
Paul Watson,Tor
Ryan Arcidiacono,Chi
Keita Bates-Diop,San
Vernon Carey Jr.,Cha
Marquese Chriss,Gol
Torrey Craig,Mil
Tacko Fall,Bos
Yogi Ferrell,Cle
Trent Forrest,Uta
Tim Frazier,Mem
Danilo Gallinari,Atl
Jared Harper,Nyk
Frank Jackson,Det
Jalen Lecque,Ind
Kira Lewis Jr.,Nor
Nassir Little,Por
Kevin Love,Cle
Rodney McGruder,Det
Chimezie Metu,Sac
Darius Miller,Okc
E'Twaun Moore,Pho
Rajon Rondo,Atl
Dennis Smith Jr.,Nyk
Jalen Smith,Pho
Max Strus,Mia
Sindarius Thornwell,Nor
Gabe Vincent,Mia
Jaylen Adams,Mil
Kostas Antetokounmpo,Lal
Jarrell Brantley,Uta
Devon Dotson,Chi
Cristiano Felicio,Chi
Jalen Harris,Tor
Willy Hernangomez,Nor
Nate Hinton,Dal
Luke Kornet,Chi
Saben Lee,Det
Nico Mannion,Gol
Malik Monk,Cha
Abdel Nader,Pho
Jaylen Nowell,Min
Anzejs Pasecniks,Was
Deividas Sirvydis,Det
Tony Snell,Atl
Obi Toppin,Nyk
Derrick White,San
Dylan Windler,Cle
Cassius Winston,Was
Cody Zeller,Cha
