FULL NAME,TEAM
Aaron Brooks,Min
Aaron Gordon,Orl
Aaron Harrison,Dal
Aaron Jackson,Hou
Abdel Nader,Bos
Adreian Payne,Orl
Al Horford,Bos
Al Jefferson,Ind
Alan Williams,Pho
Alec Burks,Uta
Alec Peters,Pho
Alex Abrines,Okc
Alex Caruso,Lal
Alex Len,Pho
Alex Poythress,Ind
Al-Farouq Aminu,Por
Alfonzo McKinnie,Tor
Allen Crabbe,Bro
Amir Johnson,Phi
Andre Drummond,Det
Andre Iguodala,Gol
Andre Ingram,Lal
Andre Roberson,Okc
Andrew Bogut,Lal
Andrew Harrison,Mem
Andrew White III,Atl
Andrew Wiggins,Min
Ante Zizic,Cle
Anthony Brown,Min
Anthony Davis,Nor
Anthony Tolliver,Det
Antonio Blakeney,Chi
Antonius Cleveland,Dal
Antonius Cleveland,Atl
Aron Baynes,Bos
Arron Afflalo,Orl
Austin Rivers,Lac
Avery Bradley,Det
Avery Bradley,Lac
Bam Adebayo,Mia
Ben McLemore,Mem
Ben Moore,Ind
Ben Simmons,Phi
Bismack Biyombo,Orl
Blake Griffin,Lac
Blake Griffin,Det
Boban Marjanovic,Det
Boban Marjanovic,Lac
Bobby Brown,Hou
Bobby Portis,Chi
Bogdan Bogdanovic,Sac
Bojan Bogdanovic,Ind
Bradley Beal,Was
Brandan Wright,Mem
Brandan Wright,Hou
Brandon Ingram,Lal
Brandon Jennings,Mil
Brandon Paul,San
Briante Weber,Hou
Briante Weber,Mem
Brice Johnson,Lac
Brice Johnson,Mem
Brook Lopez,Lal
Bruno Caboclo,Tor
Bruno Caboclo,Sac
Bryn Forbes,San
Buddy Hield,Sac
C.J. Williams,Lac
Caleb Swanigan,Por
Cameron Payne,Chi
Caris LeVert,Bro
Carmelo Anthony,Okc
Cedi Osman,Cle
Chandler Parsons,Mem
Channing Frye,Cle
Channing Frye,Lal
Charles Cooke,Nor
Cheick Diallo,Nor
Chinanu Onuaku,Hou
Chris Boucher,Gol
Chris McCullough,Was
Chris Paul,Hou
CJ McCollum,Por
CJ Miles,Tor
Clint Capela,Hou
Cody Zeller,Cha
Cole Aldrich,Min
Corey Brewer,Lal
Corey Brewer,Okc
Cory Joseph,Ind
Courtney Lee,Nyk
Cristiano Felicio,Chi
D.J. Augustin,Orl
D.J. Wilson,Mil
Dakari Johnson,Okc
Damian Jones,Gol
Damian Lillard,Por
Damien Wilkins,Ind
Damion Lee,Atl
Damyean Dotson,Nyk
D'Angelo Russell,Bro
Daniel Hamilton,Okc
Daniel Theis,Bos
Danilo Gallinari,Lac
Danny Green,San
Dante Cunningham,Nor
Dante Cunningham,Bro
Dante Exum,Uta
Danuel House,Pho
Dario Saric,Phi
Darius Miller,Nor
Darrell Arthur,Den
Darren Collison,Ind
Darrun Hilliard,San
David Nwaba,Chi
David Stockton,Uta
David West,Gol
Davis Bertans,San
Davon Reed,Pho
De'Aaron Fox,Sac
DeAndre' Bembry,Atl
DeAndre Jordan,Lac
DeAndre Liggins,Mil
DeAndre Liggins,Nor
Dejounte Murray,San
Delon Wright,Tor
DeMar DeRozan,Tor
DeMarcus Cousins,Nor
DeMarre Carroll,Bro
Demetrius Jackson,Hou
Demetrius Jackson,Phi
Dennis Schroder,Atl
Dennis Smith Jr.,Dal
Denzel Valentine,Chi
Derrick Favors,Uta
Derrick Jones Jr.,Pho
Derrick Jones Jr.,Mia
Derrick Rose,Cle
Derrick Rose,Min
Derrick Walton Jr.,Mia
Derrick White,San
Derrick Williams,Lal
Devin Booker,Pho
Devin Harris,Dal
Devin Harris,Den
Devin Robinson,Was
Dewayne Dedmon,Atl
Deyonta Davis,Mem
Dillon Brooks,Mem
Dion Waiters,Mia
Dirk Nowitzki,Dal
Domantas Sabonis,Ind
Donovan Mitchell,Uta
Dorian Finney-Smith,Dal
Doug McDermott,Nyk
Doug McDermott,Dal
Dragan Bender,Pho
Draymond Green,Gol
Dwayne Bacon,Cha
Dwight Buycks,Det
Dwight Howard,Cha
Dwight Powell,Dal
Dwyane Wade,Cle
Dwyane Wade,Mia
Ed Davis,Por
Edmond Sumner,Ind
Ekpe Udoh,Uta
Elfrid Payton,Orl
Elfrid Payton,Pho
Emeka Okafor,Nor
Emmanuel Mudiay,Den
Emmanuel Mudiay,Nyk
Enes Kanter,Nyk
Eric Bledsoe,Pho
Eric Bledsoe,Mil
Eric Gordon,Hou
Eric Moreland,Det
Erik McCree,Uta
Ersan Ilyasova,Atl
Ersan Ilyasova,Phi
E'Twaun Moore,Nor
Evan Fournier,Orl
Evan Turner,Por
Frank Kaminsky,Cha
Frank Mason,Sac
Frank Ntilikina,Nyk
Fred VanVleet,Tor
Furkan Korkmaz,Phi
Garrett Temple,Sac
Gary Harris,Den
Gary Payton II,Mil
Gary Payton II,Lal
George Hill,Sac
George Hill,Cle
Georges Niang,Uta
Georgios Papagiannis,Sac
Georgios Papagiannis,Por
Gerald Green,Hou
Gian Clavell,Dal
Giannis Antetokounmpo,Mil
Glenn Robinson III,Ind
Goran Dragic,Mia
Gordon Hayward,Bos
Gorgui Dieng,Min
Greg Monroe,Mil
Greg Monroe,Pho
Greg Monroe,Bos
Guerschon Yabusele,Bos
Harrison Barnes,Dal
Hassan Whiteside,Mia
Henry Ellenson,Det
Ian Clark,Nor
Ian Mahinmi,Was
Ike Anigbogu,Ind
Iman Shumpert,Cle
Isaiah Canaan,Hou
Isaiah Canaan,Pho
Isaiah Hicks,Nyk
Isaiah Taylor,Atl
Isaiah Thomas,Cle
Isaiah Thomas,Lal
Isaiah Whitehead,Bro
Ish Smith,Det
Ivan Rabb,Mem
Ivica Zubac,Lal
J.J. Barea,Dal
Jabari Bird,Bos
Jabari Parker,Mil
Jack Cooley,Sac
Jacob Pullen,Phi
Jacob Wiley,Bro
Jae Crowder,Cle
Jae Crowder,Uta
Jahlil Okafor,Phi
Jahlil Okafor,Bro
JaKarr Sampson,Sac
Jake Layman,Por
Jakob Poeltl,Tor
Jalen Jones,Nor
Jalen Jones,Dal
Jamal Crawford,Min
Jamal Murray,Den
Jameel Warney,Dal
Jameer Nelson,Nor
Jameer Nelson,Det
Jamel Artis,Orl
James Ennis III,Mem
James Ennis III,Det
James Harden,Hou
James Johnson,Mia
James Michael McAdoo,Phi
James Webb III,Bro
James Young,Phi
Jamil Wilson,Lac
JaMychal Green,Mem
Jared Dudley,Pho
Jarell Eddie,Bos
Jarell Eddie,Chi
Jarell Martin,Mem
Jarrett Allen,Bro
Jarrett Jack,Nyk
Jason Smith,Was
Jason Terry,Mil
JaVale McGee,Gol
Jawun Evans,Lac
Jaylen Brown,Bos
Jaylen Morris,Atl
Jayson Tatum,Bos
Jeff Green,Cle
Jeff Teague,Min
Jeff Withey,Dal
Jerami Grant,Okc
Jeremy Evans,Atl
Jeremy Lamb,Cha
Jeremy Lin,Bro
Jerian Grant,Chi
Jerryd Bayless,Phi
Jimmy Butler,Min
JJ Redick,Phi
Joakim Noah,Nyk
Jodie Meeks,Was
Joe Harris,Bro
Joe Ingles,Uta
Joe Johnson,Uta
Joe Johnson,Hou
Joe Young,Ind
Joel Bolomboy,Mil
Joel Embiid,Phi
Joffrey Lauvergne,San
John Collins,Atl
John Henson,Mil
John Holland,Cle
John Wall,Was
Johnathan Motley,Dal
Johnny O'Bryant III,Cha
Jon Leuer,Det
Jonas Jerebko,Uta
Jonas Valanciunas,Tor
Jonathan Gibson,Bos
Jonathan Isaac,Orl
Jonathon Simmons,Orl
Jordan Bell,Gol
Jordan Clarkson,Lal
Jordan Clarkson,Cle
Jordan Crawford,Nor
Jordan Mickey,Mia
Jose Calderon,Cle
Josh Gray,Pho
Josh Hart,Lal
Josh Huestis,Okc
Josh Jackson,Pho
Josh Magette,Atl
Josh McRoberts,Dal
Josh Richardson,Mia
Josh Smith,Nor
JR Smith,Cle
Jrue Holiday,Nor
Juancho Hernangomez,Den
Julius Randle,Lal
Julyan Stone,Cha
Justin Anderson,Phi
Justin Holiday,Chi
Justin Jackson,Sac
Justin Patton,Min
Justise Winslow,Mia
Jusuf Nurkic,Por
Kadeem Allen,Bos
Karl-Anthony Towns,Min
Kawhi Leonard,San
Kay Felder,Chi
Kay Felder,Det
Kelly Olynyk,Mia
Kelly Oubre Jr.,Was
Kemba Walker,Cha
Kendrick Perkins,Cle
Kenneth Faried,Den
Kent Bazemore,Atl
Kentavious Caldwell-Pope,Lal
Kevin Durant,Gol
Kevin Love,Cle
Kevon Looney,Gol
Khem Birch,Orl
Khris Middleton,Mil
